"to_check_rank","ease_bucket","id","problem_number","title","latest_reference_year","references_section_present","reference_years_count"
"96","no-reference-years","EP-180","EP-180","Erdos Problem #180","","false","0"
"97","no-reference-years","EP-181","EP-181","Erdos Problem #181","","false","0"
"98","no-reference-years","EP-184","EP-184","Erdos Problem #184","","false","0"
"99","no-reference-years","EP-187","EP-187","Erdos Problem #187","","false","0"
"100","no-reference-years","EP-188","EP-188","Erdos Problem #188","","false","0"
"101","no-reference-years","EP-190","EP-190","Erdos Problem #190","","false","0"
"102","no-reference-years","EP-193","EP-193","Erdos Problem #193","","false","0"
"103","no-reference-years","EP-195","EP-195","Erdos Problem #195","","false","0"
"104","no-reference-years","EP-196","EP-196","Erdos Problem #196","","false","0"
"105","no-reference-years","EP-197","EP-197","Erdos Problem #197","","false","0"
"106","no-reference-years","EP-200","EP-200","Erdos Problem #200","","false","0"
"107","no-reference-years","EP-201","EP-201","Erdos Problem #201","","false","0"
"108","no-reference-years","EP-202","EP-202","Erdos Problem #202","","false","0"
"109","no-reference-years","EP-203","EP-203","Erdos Problem #203","","false","0"
"110","no-reference-years","EP-208","EP-208","Erdos Problem #208","","false","0"
"111","no-reference-years","EP-212","EP-212","Erdos Problem #212","","false","0"
"112","no-reference-years","EP-213","EP-213","Erdos Problem #213","","false","0"
"113","no-reference-years","EP-217","EP-217","Erdos Problem #217","","false","0"
"114","no-reference-years","EP-218","EP-218","Erdos Problem #218","","false","0"
"115","no-reference-years","EP-222","EP-222","Erdos Problem #222","","false","0"
"116","no-reference-years","EP-233","EP-233","Erdos Problem #233","","false","0"
"117","no-reference-years","EP-234","EP-234","Erdos Problem #234","","false","0"
"118","no-reference-years","EP-238","EP-238","Erdos Problem #238","","false","0"
"119","no-reference-years","EP-241","EP-241","Erdos Problem #241","","false","0"
"120","no-reference-years","EP-243","EP-243","Erdos Problem #243","","false","0"
"121","no-reference-years","EP-244","EP-244","Erdos Problem #244","","false","0"
"122","no-reference-years","EP-249","EP-249","Erdos Problem #249","","false","0"
"123","no-reference-years","EP-251","EP-251","Erdos Problem #251","","false","0"
"124","no-reference-years","EP-252","EP-252","Erdos Problem #252","","false","0"
"125","no-reference-years","EP-254","EP-254","Erdos Problem #254","","false","0"
"126","no-reference-years","EP-256","EP-256","Erdos Problem #256","","false","0"
"127","no-reference-years","EP-257","EP-257","Erdos Problem #257","","false","0"
"128","no-reference-years","EP-258","EP-258","Erdos Problem #258","","false","0"
"129","no-reference-years","EP-260","EP-260","Erdos Problem #260","","false","0"
"130","no-reference-years","EP-261","EP-261","Erdos Problem #261","","false","0"
"131","no-reference-years","EP-263","EP-263","Erdos Problem #263","","false","0"
"132","no-reference-years","EP-264","EP-264","Erdos Problem #264","","false","0"
"133","no-reference-years","EP-267","EP-267","Erdos Problem #267","","false","0"
"134","no-reference-years","EP-269","EP-269","Erdos Problem #269","","false","0"
"135","no-reference-years","EP-271","EP-271","Erdos Problem #271","","false","0"
"136","no-reference-years","EP-272","EP-272","Erdos Problem #272","","false","0"
"137","no-reference-years","EP-273","EP-273","Erdos Problem #273","","false","0"
"138","no-reference-years","EP-274","EP-274","Erdos Problem #274","","false","0"
"139","no-reference-years","EP-276","EP-276","Erdos Problem #276","","false","0"
"140","no-reference-years","EP-278","EP-278","Erdos Problem #278","","false","0"
"141","no-reference-years","EP-279","EP-279","Erdos Problem #279","","false","0"
"142","no-reference-years","EP-281","EP-281","Erdos Problem #281","","false","0"
"143","no-reference-years","EP-282","EP-282","Erdos Problem #282","","false","0"
"144","no-reference-years","EP-283","EP-283","Erdos Problem #283","","false","0"
"145","no-reference-years","EP-288","EP-288","Erdos Problem #288","","false","0"
"146","no-reference-years","EP-289","EP-289","Erdos Problem #289","","false","0"
"147","no-reference-years","EP-291","EP-291","Erdos Problem #291","","false","0"
"148","no-reference-years","EP-293","EP-293","Erdos Problem #293","","false","0"
"149","no-reference-years","EP-295","EP-295","Erdos Problem #295","","false","0"
"150","no-reference-years","EP-301","EP-301","Erdos Problem #301","","false","0"
"151","no-reference-years","EP-302","EP-302","Erdos Problem #302","","false","0"
"152","no-reference-years","EP-304","EP-304","Erdos Problem #304","","false","0"
"153","no-reference-years","EP-306","EP-306","Erdos Problem #306","","false","0"
"154","no-reference-years","EP-311","EP-311","Erdos Problem #311","","false","0"
"155","no-reference-years","EP-312","EP-312","Erdos Problem #312","","false","0"
"156","no-reference-years","EP-313","EP-313","Erdos Problem #313","","false","0"
"157","no-reference-years","EP-317","EP-317","Erdos Problem #317","","false","0"
"158","no-reference-years","EP-318","EP-318","Erdos Problem #318","","false","0"
"159","no-reference-years","EP-319","EP-319","Erdos Problem #319","","false","0"
"160","no-reference-years","EP-321","EP-321","Erdos Problem #321","","false","0"
"161","no-reference-years","EP-322","EP-322","Erdos Problem #322","","false","0"
"162","no-reference-years","EP-323","EP-323","Erdos Problem #323","","false","0"
"163","no-reference-years","EP-324","EP-324","Erdos Problem #324","","false","0"
"164","no-reference-years","EP-326","EP-326","Erdos Problem #326","","false","0"
"165","no-reference-years","EP-327","EP-327","Erdos Problem #327","","false","0"
"166","no-reference-years","EP-329","EP-329","Erdos Problem #329","","false","0"
"167","no-reference-years","EP-330","EP-330","Erdos Problem #330","","false","0"
"168","no-reference-years","EP-332","EP-332","Erdos Problem #332","","false","0"
"169","no-reference-years","EP-334","EP-334","Erdos Problem #334","","false","0"
"170","no-reference-years","EP-335","EP-335","Erdos Problem #335","","false","0"
"171","no-reference-years","EP-336","EP-336","Erdos Problem #336","","false","0"
"172","no-reference-years","EP-338","EP-338","Erdos Problem #338","","false","0"
"173","no-reference-years","EP-340","EP-340","Erdos Problem #340","","false","0"
"174","no-reference-years","EP-341","EP-341","Erdos Problem #341","","false","0"
"175","no-reference-years","EP-342","EP-342","Erdos Problem #342","","false","0"
"176","no-reference-years","EP-345","EP-345","Erdos Problem #345","","false","0"
"177","no-reference-years","EP-346","EP-346","Erdos Problem #346","","false","0"
"178","no-reference-years","EP-348","EP-348","Erdos Problem #348","","false","0"
"179","no-reference-years","EP-349","EP-349","Erdos Problem #349","","false","0"
"180","no-reference-years","EP-351","EP-351","Erdos Problem #351","","false","0"
"181","no-reference-years","EP-352","EP-352","Erdos Problem #352","","false","0"
"182","no-reference-years","EP-354","EP-354","Erdos Problem #354","","false","0"
"183","no-reference-years","EP-357","EP-357","Erdos Problem #357","","false","0"
"184","no-reference-years","EP-358","EP-358","Erdos Problem #358","","false","0"
"185","no-reference-years","EP-359","EP-359","Erdos Problem #359","","false","0"
"186","no-reference-years","EP-361","EP-361","Erdos Problem #361","","false","0"
"187","no-reference-years","EP-365","EP-365","Erdos Problem #365","","false","0"
"188","no-reference-years","EP-367","EP-367","Erdos Problem #367","","false","0"
"189","no-reference-years","EP-368","EP-368","Erdos Problem #368","","false","0"
"190","no-reference-years","EP-369","EP-369","Erdos Problem #369","","false","0"
"191","no-reference-years","EP-371","EP-371","Erdos Problem #371","","false","0"
"192","no-reference-years","EP-373","EP-373","Erdos Problem #373","","false","0"
"193","no-reference-years","EP-374","EP-374","Erdos Problem #374","","false","0"
"194","no-reference-years","EP-376","EP-376","Erdos Problem #376","","false","0"
"195","no-reference-years","EP-377","EP-377","Erdos Problem #377","","false","0"
"196","no-reference-years","EP-380","EP-380","Erdos Problem #380","","false","0"
"197","no-reference-years","EP-382","EP-382","Erdos Problem #382","","false","0"
"198","no-reference-years","EP-383","EP-383","Erdos Problem #383","","false","0"
"199","no-reference-years","EP-385","EP-385","Erdos Problem #385","","false","0"
"200","no-reference-years","EP-386","EP-386","Erdos Problem #386","","false","0"
"201","no-reference-years","EP-387","EP-387","Erdos Problem #387","","false","0"
"202","no-reference-years","EP-388","EP-388","Erdos Problem #388","","false","0"
"203","no-reference-years","EP-389","EP-389","Erdos Problem #389","","false","0"
"204","no-reference-years","EP-390","EP-390","Erdos Problem #390","","false","0"
"205","no-reference-years","EP-393","EP-393","Erdos Problem #393","","false","0"
"206","no-reference-years","EP-394","EP-394","Erdos Problem #394","","false","0"
"207","no-reference-years","EP-396","EP-396","Erdos Problem #396","","false","0"
"208","no-reference-years","EP-400","EP-400","Erdos Problem #400","","false","0"
"209","no-reference-years","EP-404","EP-404","Erdos Problem #404","","false","0"
"210","no-reference-years","EP-406","EP-406","Erdos Problem #406","","false","0"
"211","no-reference-years","EP-408","EP-408","Erdos Problem #408","","false","0"
"212","no-reference-years","EP-409","EP-409","Erdos Problem #409","","false","0"
"213","no-reference-years","EP-410","EP-410","Erdos Problem #410","","false","0"
"214","no-reference-years","EP-411","EP-411","Erdos Problem #411","","false","0"
"215","no-reference-years","EP-412","EP-412","Erdos Problem #412","","false","0"
"216","no-reference-years","EP-413","EP-413","Erdos Problem #413","","false","0"
"217","no-reference-years","EP-414","EP-414","Erdos Problem #414","","false","0"
"218","no-reference-years","EP-415","EP-415","Erdos Problem #415","","false","0"
"219","no-reference-years","EP-416","EP-416","Erdos Problem #416","","false","0"
"220","no-reference-years","EP-417","EP-417","Erdos Problem #417","","false","0"
"221","no-reference-years","EP-420","EP-420","Erdos Problem #420","","false","0"
"222","no-reference-years","EP-421","EP-421","Erdos Problem #421","","false","0"
"223","no-reference-years","EP-422","EP-422","Erdos Problem #422","","false","0"
"224","no-reference-years","EP-423","EP-423","Erdos Problem #423","","false","0"
"225","no-reference-years","EP-424","EP-424","Erdos Problem #424","","false","0"
"226","no-reference-years","EP-425","EP-425","Erdos Problem #425","","false","0"
"227","no-reference-years","EP-428","EP-428","Erdos Problem #428","","false","0"
"228","no-reference-years","EP-430","EP-430","Erdos Problem #430","","false","0"
"229","no-reference-years","EP-431","EP-431","Erdos Problem #431","","false","0"
"230","no-reference-years","EP-432","EP-432","Erdos Problem #432","","false","0"
"231","no-reference-years","EP-436","EP-436","Erdos Problem #436","","false","0"
"232","no-reference-years","EP-445","EP-445","Erdos Problem #445","","false","0"
"233","no-reference-years","EP-450","EP-450","Erdos Problem #450","","false","0"
"234","no-reference-years","EP-451","EP-451","Erdos Problem #451","","false","0"
"235","no-reference-years","EP-452","EP-452","Erdos Problem #452","","false","0"
"236","no-reference-years","EP-454","EP-454","Erdos Problem #454","","false","0"
"237","no-reference-years","EP-455","EP-455","Erdos Problem #455","","false","0"
"238","no-reference-years","EP-456","EP-456","Erdos Problem #456","","false","0"
"239","no-reference-years","EP-457","EP-457","Erdos Problem #457","","false","0"
"240","no-reference-years","EP-460","EP-460","Erdos Problem #460","","false","0"
"241","no-reference-years","EP-461","EP-461","Erdos Problem #461","","false","0"
"242","no-reference-years","EP-462","EP-462","Erdos Problem #462","","false","0"
"243","no-reference-years","EP-463","EP-463","Erdos Problem #463","","false","0"
"244","no-reference-years","EP-467","EP-467","Erdos Problem #467","","false","0"
"245","no-reference-years","EP-468","EP-468","Erdos Problem #468","","false","0"
"246","no-reference-years","EP-469","EP-469","Erdos Problem #469","","false","0"
"247","no-reference-years","EP-470","EP-470","Erdos Problem #470","","false","0"
"248","no-reference-years","EP-472","EP-472","Erdos Problem #472","","false","0"
"249","no-reference-years","EP-477","EP-477","Erdos Problem #477","","false","0"
"250","no-reference-years","EP-478","EP-478","Erdos Problem #478","","false","0"
"251","no-reference-years","EP-479","EP-479","Erdos Problem #479","","false","0"
"252","no-reference-years","EP-483","EP-483","Erdos Problem #483","","false","0"
"253","no-reference-years","EP-486","EP-486","Erdos Problem #486","","false","0"
"254","no-reference-years","EP-488","EP-488","Erdos Problem #488","","false","0"
"255","no-reference-years","EP-489","EP-489","Erdos Problem #489","","false","0"
"256","no-reference-years","EP-495","EP-495","Erdos Problem #495","","false","0"
"257","no-reference-years","EP-500","EP-500","Erdos Problem #500","","false","0"
"258","no-reference-years","EP-501","EP-501","Erdos Problem #501","","false","0"
"259","no-reference-years","EP-503","EP-503","Erdos Problem #503","","false","0"
"260","no-reference-years","EP-507","EP-507","Erdos Problem #507","","false","0"
"261","no-reference-years","EP-508","EP-508","Erdos Problem #508","","false","0"
"262","no-reference-years","EP-509","EP-509","Erdos Problem #509","","false","0"
"263","no-reference-years","EP-510","EP-510","Erdos Problem #510","","false","0"
"264","no-reference-years","EP-513","EP-513","Erdos Problem #513","","false","0"
"265","no-reference-years","EP-514","EP-514","Erdos Problem #514","","false","0"
"266","no-reference-years","EP-517","EP-517","Erdos Problem #517","","false","0"
"267","no-reference-years","EP-520","EP-520","Erdos Problem #520","","false","0"
"268","no-reference-years","EP-521","EP-521","Erdos Problem #521","","false","0"
"269","no-reference-years","EP-522","EP-522","Erdos Problem #522","","false","0"
"270","no-reference-years","EP-524","EP-524","Erdos Problem #524","","false","0"
"271","no-reference-years","EP-528","EP-528","Erdos Problem #528","","false","0"
"272","no-reference-years","EP-529","EP-529","Erdos Problem #529","","false","0"
"273","no-reference-years","EP-530","EP-530","Erdos Problem #530","","false","0"
"274","no-reference-years","EP-531","EP-531","Erdos Problem #531","","false","0"
"275","no-reference-years","EP-533","EP-533","Erdos Problem #533","","false","0"
"276","no-reference-years","EP-535","EP-535","Erdos Problem #535","","false","0"
"277","no-reference-years","EP-536","EP-536","Erdos Problem #536","","false","0"
"278","no-reference-years","EP-538","EP-538","Erdos Problem #538","","false","0"
"279","no-reference-years","EP-539","EP-539","Erdos Problem #539","","false","0"
"280","no-reference-years","EP-543","EP-543","Erdos Problem #543","","false","0"
"281","no-reference-years","EP-544","EP-544","Erdos Problem #544","","false","0"
"282","no-reference-years","EP-545","EP-545","Erdos Problem #545","","false","0"
"283","no-reference-years","EP-550","EP-550","Erdos Problem #550","","false","0"
"284","no-reference-years","EP-552","EP-552","Erdos Problem #552","","false","0"
"285","no-reference-years","EP-554","EP-554","Erdos Problem #554","","false","0"
"286","no-reference-years","EP-555","EP-555","Erdos Problem #555","","false","0"
"287","no-reference-years","EP-557","EP-557","Erdos Problem #557","","false","0"
"288","no-reference-years","EP-558","EP-558","Erdos Problem #558","","false","0"
"289","no-reference-years","EP-560","EP-560","Erdos Problem #560","","false","0"
"290","no-reference-years","EP-561","EP-561","Erdos Problem #561","","false","0"
"291","no-reference-years","EP-562","EP-562","Erdos Problem #562","","false","0"
"292","no-reference-years","EP-563","EP-563","Erdos Problem #563","","false","0"
"293","no-reference-years","EP-564","EP-564","Erdos Problem #564","","false","0"
"294","no-reference-years","EP-566","EP-566","Erdos Problem #566","","false","0"
"295","no-reference-years","EP-567","EP-567","Erdos Problem #567","","false","0"
"296","no-reference-years","EP-568","EP-568","Erdos Problem #568","","false","0"
"297","no-reference-years","EP-569","EP-569","Erdos Problem #569","","false","0"
"298","no-reference-years","EP-571","EP-571","Erdos Problem #571","","false","0"
"299","no-reference-years","EP-572","EP-572","Erdos Problem #572","","false","0"
"300","no-reference-years","EP-573","EP-573","Erdos Problem #573","","false","0"
"301","no-reference-years","EP-574","EP-574","Erdos Problem #574","","false","0"
"302","no-reference-years","EP-575","EP-575","Erdos Problem #575","","false","0"
"303","no-reference-years","EP-576","EP-576","Erdos Problem #576","","false","0"
"304","no-reference-years","EP-579","EP-579","Erdos Problem #579","","false","0"
"305","no-reference-years","EP-584","EP-584","Erdos Problem #584","","false","0"
"306","no-reference-years","EP-585","EP-585","Erdos Problem #585","","false","0"
"307","no-reference-years","EP-588","EP-588","Erdos Problem #588","","false","0"
"308","no-reference-years","EP-589","EP-589","Erdos Problem #589","","false","0"
"309","no-reference-years","EP-591","EP-591","Erdos Problem #591","","false","0"
"310","no-reference-years","EP-592","EP-592","Erdos Problem #592","","false","0"
"311","no-reference-years","EP-593","EP-593","Erdos Problem #593","","false","0"
"312","no-reference-years","EP-595","EP-595","Erdos Problem #595","","false","0"
"313","no-reference-years","EP-596","EP-596","Erdos Problem #596","","false","0"
"314","no-reference-years","EP-597","EP-597","Erdos Problem #597","","false","0"
"315","no-reference-years","EP-598","EP-598","Erdos Problem #598","","false","0"
"316","no-reference-years","EP-600","EP-600","Erdos Problem #600","","false","0"
"317","no-reference-years","EP-601","EP-601","Erdos Problem #601","","false","0"
"318","no-reference-years","EP-602","EP-602","Erdos Problem #602","","false","0"
"319","no-reference-years","EP-603","EP-603","Erdos Problem #603","","false","0"
"320","no-reference-years","EP-604","EP-604","Erdos Problem #604","","false","0"
"321","no-reference-years","EP-609","EP-609","Erdos Problem #609","","false","0"
"322","no-reference-years","EP-610","EP-610","Erdos Problem #610","","false","0"
"323","no-reference-years","EP-611","EP-611","Erdos Problem #611","","false","0"
"324","no-reference-years","EP-612","EP-612","Erdos Problem #612","","false","0"
"325","no-reference-years","EP-614","EP-614","Erdos Problem #614","","false","0"
"326","no-reference-years","EP-616","EP-616","Erdos Problem #616","","false","0"
"327","no-reference-years","EP-619","EP-619","Erdos Problem #619","","false","0"
"328","no-reference-years","EP-620","EP-620","Erdos Problem #620","","false","0"
"329","no-reference-years","EP-623","EP-623","Erdos Problem #623","","false","0"
"330","no-reference-years","EP-624","EP-624","Erdos Problem #624","","false","0"
"331","no-reference-years","EP-625","EP-625","Erdos Problem #625","","false","0"
"332","no-reference-years","EP-626","EP-626","Erdos Problem #626","","false","0"
"333","no-reference-years","EP-627","EP-627","Erdos Problem #627","","false","0"
"334","no-reference-years","EP-629","EP-629","Erdos Problem #629","","false","0"
"335","no-reference-years","EP-633","EP-633","Erdos Problem #633","","false","0"
"336","no-reference-years","EP-634","EP-634","Erdos Problem #634","","false","0"
"337","no-reference-years","EP-635","EP-635","Erdos Problem #635","","false","0"
"338","no-reference-years","EP-638","EP-638","Erdos Problem #638","","false","0"
"339","no-reference-years","EP-640","EP-640","Erdos Problem #640","","false","0"
"340","no-reference-years","EP-642","EP-642","Erdos Problem #642","","false","0"
"341","no-reference-years","EP-643","EP-643","Erdos Problem #643","","false","0"
"342","no-reference-years","EP-644","EP-644","Erdos Problem #644","","false","0"
"343","no-reference-years","EP-650","EP-650","Erdos Problem #650","","false","0"
"344","no-reference-years","EP-652","EP-652","Erdos Problem #652","","false","0"
"345","no-reference-years","EP-653","EP-653","Erdos Problem #653","","false","0"
"346","no-reference-years","EP-654","EP-654","Erdos Problem #654","","false","0"
"347","no-reference-years","EP-655","EP-655","Erdos Problem #655","","false","0"
"348","no-reference-years","EP-657","EP-657","Erdos Problem #657","","false","0"
"349","no-reference-years","EP-660","EP-660","Erdos Problem #660","","false","0"
"350","no-reference-years","EP-661","EP-661","Erdos Problem #661","","false","0"
"351","no-reference-years","EP-662","EP-662","Erdos Problem #662","","false","0"
"352","no-reference-years","EP-663","EP-663","Erdos Problem #663","","false","0"
"353","no-reference-years","EP-665","EP-665","Erdos Problem #665","","false","0"
"354","no-reference-years","EP-667","EP-667","Erdos Problem #667","","false","0"
"355","no-reference-years","EP-668","EP-668","Erdos Problem #668","","false","0"
"356","no-reference-years","EP-669","EP-669","Erdos Problem #669","","false","0"
"357","no-reference-years","EP-670","EP-670","Erdos Problem #670","","false","0"
"358","no-reference-years","EP-671","EP-671","Erdos Problem #671","","false","0"
"359","no-reference-years","EP-675","EP-675","Erdos Problem #675","","false","0"
"360","no-reference-years","EP-676","EP-676","Erdos Problem #676","","false","0"
"361","no-reference-years","EP-677","EP-677","Erdos Problem #677","","false","0"
"362","no-reference-years","EP-679","EP-679","Erdos Problem #679","","false","0"
"363","no-reference-years","EP-680","EP-680","Erdos Problem #680","","false","0"
"364","no-reference-years","EP-681","EP-681","Erdos Problem #681","","false","0"
"365","no-reference-years","EP-683","EP-683","Erdos Problem #683","","false","0"
"366","no-reference-years","EP-684","EP-684","Erdos Problem #684","","false","0"
"367","no-reference-years","EP-685","EP-685","Erdos Problem #685","","false","0"
"368","no-reference-years","EP-686","EP-686","Erdos Problem #686","","false","0"
"369","no-reference-years","EP-687","EP-687","Erdos Problem #687","","false","0"
"370","no-reference-years","EP-688","EP-688","Erdos Problem #688","","false","0"
"371","no-reference-years","EP-689","EP-689","Erdos Problem #689","","false","0"
"372","no-reference-years","EP-690","EP-690","Erdos Problem #690","","false","0"
"373","no-reference-years","EP-691","EP-691","Erdos Problem #691","","false","0"
"374","no-reference-years","EP-693","EP-693","Erdos Problem #693","","false","0"
"375","no-reference-years","EP-694","EP-694","Erdos Problem #694","","false","0"
"376","no-reference-years","EP-695","EP-695","Erdos Problem #695","","false","0"
"377","no-reference-years","EP-696","EP-696","Erdos Problem #696","","false","0"
"378","no-reference-years","EP-700","EP-700","Erdos Problem #700","","false","0"
"379","no-reference-years","EP-701","EP-701","Erdos Problem #701","","false","0"
"380","no-reference-years","EP-704","EP-704","Erdos Problem #704","","false","0"
"381","no-reference-years","EP-705","EP-705","Erdos Problem #705","","false","0"
"382","no-reference-years","EP-706","EP-706","Erdos Problem #706","","false","0"
"383","no-reference-years","EP-708","EP-708","Erdos Problem #708","","false","0"
"384","no-reference-years","EP-709","EP-709","Erdos Problem #709","","false","0"
"385","no-reference-years","EP-710","EP-710","Erdos Problem #710","","false","0"
"386","no-reference-years","EP-711","EP-711","Erdos Problem #711","","false","0"
