"problem_number","title","classification","to_check_rank","latest_reference_year","status","note"
"EP-38","Erdős Problem #38","to-check","147","1942","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos \cite{Er36c} proved that if $B$ is an additive basis of order $k$ then, for any set $A$ of Schnirelmann density $\alpha$, for every $N$ there exists some integer $b\in B$ such that $ \lvert (A\cup (A+b))\cap \{1,\ldots,N\}\rvert\geq \left(\alpha+\frac{\alpha(1-\alpha)}{2k}\right)N."
"EP-39","Erdős Problem #39","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-40","Erdős Problem #40","to-check","2","","log_case_reduced_not_solved","reduced g(N)=log N case to dense bounded-representation growth statement: for each fixed K, must have A(N)=o(sqrt(N)/log N) if implication is true"
"EP-41","Erdős Problem #41","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-42","Erdős Problem #42","to-check","3","","not_proved","Tried a random-greedy construction of B avoiding nonzero differences from A-A while preserving Sidon constraints in B."
"EP-43","Erdős Problem #43","to-check","4","","attempted_not_proved_runtime_profiled","cannot bridge from two-color disjoint-difference constraints to single Sidon extremal scale C(f(N),2)+O(1)"
"EP-44","Erdős Problem #44","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-50","Erdős Problem #50","to-check","338","1995","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-51","Erdős Problem #51","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-52","Erdős Problem #52","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-60","Erdős Problem #60","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-61","Erdős Problem #61","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-62","Erdős Problem #62","to-check","292","1987","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Every graph with chromatic number $\aleph_1$ contains all sufficiently large odd cycles (which have chromatic number $3$), see [594]."
"EP-65","Erdős Problem #65","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-66","Erdős Problem #66","harder","","2007","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-68","Erdős Problem #68","to-check","295","1988","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-70","Erdős Problem #70","to-check","5","","not_proved","Tried to lift known continuum partition relations from (omega+n,4)_2^3 toward (beta,n)_2^3 for arbitrary countable beta via transfinite recursion."
"EP-74","Erdős Problem #74","to-check","269","1982","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Conjectured by Erdos, Hajnal, and Szemer\'{e}di \cite{EHS82}."
"EP-75","Erdős Problem #75","to-check","342","1995","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Conjectured by Erdos, Hajnal, and Szemer\'{e}di \cite{EHS82}."
"EP-77","Erdős Problem #77","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-78","Erdős Problem #78","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-80","Erdős Problem #80","harder","","2012","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-81","Erdős Problem #81","to-check","335","1994","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Asked by Erdos, Ordman, and Zalcstein \cite{EOZ93}, who proved an upper bound of $(1/4-\epsilon)n^2$ many cliques (for some very small $\epsilon>0$)."
"EP-82","Erdős Problem #82","harder","","2007","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-84","Erdős Problem #84","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-86","Erdős Problem #86","harder","","2014","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-87","Erdős Problem #87","to-check","325","1993","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos originally conjectured that $R(G)\geq R(k)$, which is trivial for $k=3$, but fails already for $k=4$, as Faudree and McKay \cite{FaMc93} showed that $R(W)=17$ for the pentagonal wheel $W$."
"EP-89","Erdős Problem #89","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-90","Erdős Problem #90","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-91","Erdős Problem #91","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-92","Erdős Problem #92","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-96","Erdős Problem #96","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-98","Erdős Problem #98","to-check","326","1993","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos, F""{u}redi, and Pach \cite{EFPR93} have improved this to $ h(n) < n\exp(c\sqrt{\log n}) $ for some constant $c>0$."
"EP-99","Erdős Problem #99","to-check","363","1999","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Thue proved that the minimal such diameter is achieved (asymptotically) by the points in a triangular lattice intersected with a circle."
"EP-100","Erdős Problem #100","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-101","Erdős Problem #101","harder","","2013","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-102","Erdős Problem #102","to-check","339","1995","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: It is easy to see that $h_c(n) \ll_c n^{1/2}$, and Erdos at one point \cite{Er95} suggested that perhaps a similar lower bound $h_c(n)\gg_c n^{1/2}$ holds."
"EP-103","Erdős Problem #103","to-check","6","","not_proved","Attempted rigidity approach for minimum-diameter point sets with pairwise distance >=1, seeking multiple noncongruent minimizers for large n."
"EP-104","Erdős Problem #104","to-check","324","1992","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: In \cite{Er81d} Erdos proved that $\gg n$ many circles is possible, and that there cannot be more than $O(n^2)$ many circles."
"EP-108","Erdős Problem #108","to-check","247","1979","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Conjectured by Erdos and Hajnal."
"EP-111","Erdős Problem #111","to-check","273","1982","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: On the other hand, Erdos, Hajnal, and Szemer\'{e}di proved that there is a $G$ with chromatic number $\aleph_1$ such that $h_G(n)\ll n^{3/2}$."
"EP-112","Erdős Problem #112","to-check","354","1997","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: $ Larson and Mitchell \cite{LaMi97} improved the dependence on $m$, establishing in particular that $k(n,3)\leq n^{2}$."
"EP-114","Erdős Problem #114","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-117","Erdős Problem #117","to-check","357","1997","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Pyber \cite{Py87} has proved there exist constants $c_2>c_1>1$ such that $c_1^n<h(n)<c_2^n$."
"EP-119","Erdős Problem #119","to-check","315","1991","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The weaker conjecture that $\limsup M_n=\infty$ was proved by Wagner \cite{Wa80}, who show that there is some $c>0$ with $M_n>(\log n)^c$ infinitely often."
"EP-120","Erdős Problem #120","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-122","Erdős Problem #122","to-check","350","1997","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-123","Erdős Problem #123","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-124","Erdős Problem #124","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-125","Erdős Problem #125","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-126","Erdős Problem #126","to-check","142","1934","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Investigated by Erdos and Tur\'{a}n \cite{ErTu34} (prompted by a question of L\'{a}z\'{a}r and Gr""{u}nwald) in their first joint paper, where they proved that $ \log n \ll f(n) \ll n/\log n $ (the upper bound is trivial, taking $A=\{1,\ldots,n\}$)."
"EP-129","Erdős Problem #129","to-check","7","","counterexample_proved_as_written","For every fixed r>=2, random r-colorings plus Steiner-triple-system decomposition for n≡1,3 (mod 6) give R(n;3,r) >= exp(c_r n) on infinitely many n, contradicting any C(r)^{sqrt(n)} upper bound."
"EP-130","Erdős Problem #130","to-check","355","1997","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-131","Erdős Problem #131","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-132","Erdős Problem #132","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-137","Erdős Problem #137","to-check","274","1982","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Conjectured by Erdos and Selfridge."
"EP-138","Erdős Problem #138","harder","","2016","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-141","Erdős Problem #141","harder","","2008","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-142","Erdős Problem #142","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-143","Erdős Problem #143","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-145","Erdős Problem #145","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-146","Erdős Problem #146","harder","","2003","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-148","Erdős Problem #148","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-149","Erdős Problem #149","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-151","Erdős Problem #151","to-check","320","1992","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: There Erdos remarked that this conjecture is 'perhaps completely wrongheaded'."
"EP-152","Erdős Problem #152","to-check","8","","adversarial_search_frontier_extended_not_proved","Extended fixed-m adversarial search up to m=80: best-known isolated counts remain large (18 at m=11, 82 at m=20, 228 at m=30, 455 at m=40, 764 at m=50, 1156 at m=60, 1640 at m=70, 2206 at m=80)."
"EP-153","Erdős Problem #153","to-check","9","","adversarial_search_frontier_extended_not_proved","Extended fixed-m adversarial search up to m=80: best-known average squared gaps keep increasing (11.27 at m=11, 28.08 at m=20, 66.16 at m=30, 121.56 at m=40, 154.65 at m=50, 218.26 at m=60, 301.62 at m=70, 373.09 at m=80)."
"EP-155","Erdős Problem #155","to-check","10","","not_proved","Studied local increments of F(N), aiming to show eventual one-step growth under fixed k-shifts."
"EP-156","Erdős Problem #156","to-check","360","1998","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-158","Erdős Problem #158","to-check","11","","not_proved","Tried to adapt Sidon liminf arguments to the weaker ""at most 2 representations"" condition via representation counting."
"EP-159","Erdős Problem #159","to-check","238","1978","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: The current bounds are $ \frac{n^{3/2}}{(\log n)^{3/2}}\ll R(C_4,K_n)\ll \frac{n^2}{(\log n)^2}."
"EP-160","Erdős Problem #160","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-161","Erdős Problem #161","harder","","2011","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-162","Erdős Problem #162","to-check","12","","not_proved","Reproduced the logarithmic-scale window via probabilistic method heuristics and searched for constant-level sharpening."
"EP-165","Erdős Problem #165","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-168","Erdős Problem #168","to-check","229","1977","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: This limit was proved to exist by Graham, Spencer, and Witsenhausen \cite{GSW77}, who showed it is equal to $ \frac{1}{3}\sum_{k\in K}\frac{1}{d_k}, $ where $d_1<d_2<\cdots $are the $3$-smooth numbers and $K$ is the set of $k$ for which $f(k)>f(k-1)$, where $f$ counts the largest subset of $\{d_1,\ldots,d_k\}$ that avoids $\{n,2n,3n\}$."
"EP-169","Erdős Problem #169","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-170","Erdős Problem #170","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-172","Erdős Problem #172","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-173","Erdős Problem #173","to-check","224","1976","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Shader \cite{Sh76} has proved this is true if we just consider a single right-angled triangle."
"EP-174","Erdős Problem #174","harder","","2012","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-176","Erdős Problem #176","to-check","200","1973","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Spencer \cite{Sp73} has proved that if $k=2^tm$ with $m$ odd then $ N(k,1)=2^t(k-1)+1."
"EP-177","Erdős Problem #177","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-180","Erdős Problem #180","to-check","13","","counterexample_proved_as_written","Explicit finite family counterexample: F={K_{1,2},2K_2}. Then ex(n;F)=1 for n>=2, while ex(n;K_{1,2})=floor(n/2)=Theta(n) and ex(n;2K_2)=n-1=Theta(n), so no G in F satisfies ex(n;G)<<_F ex(n;F)."
"EP-181","Erdős Problem #181","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-183","Erdős Problem #183","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-184","Erdős Problem #184","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-187","Erdős Problem #187","to-check","251","1980","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos observed that colouring according to whether $\{ \sqrt{2}n\}<1/2$ or not implies $f(d) \ll d$ (using the fact that $\|\sqrt{2}q\| \gg 1/q$ for all $q$, where $\|x\|$ is the distance to the nearest integer)."
"EP-188","Erdős Problem #188","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-190","Erdős Problem #190","to-check","14","","not_proved","Attempted canonical-Ramsey lower/upper growth comparison using Szemeredi-driven existence plus anti-rainbow constructions."
"EP-193","Erdős Problem #193","to-check","241","1979","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Originally conjectured by Gerver and Ramsey \cite{GeRa79}, who showed that the answer is yes for $\mathbb{Z}^2$, and for $\mathbb{Z}^3$ that the largest number of collinear points can be bounded."
"EP-195","Erdős Problem #195","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-196","Erdős Problem #196","to-check","230","1977","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-197","Erdős Problem #197","to-check","15","","not_proved","Tried recursive block permutations in two-color partition classes to suppress monotone 3-term APs after permutation."
"EP-200","Erdős Problem #200","to-check","16","","not_proved","Used random-primes heuristic and existing AP-in-primes framework to test plausibility of sub-logarithmic maximal progression length."
"EP-201","Erdős Problem #201","to-check","217","1975","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-202","Erdős Problem #202","harder","","2013","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-203","Erdős Problem #203","to-check","17","","not_proved","Attempted a covering-congruence construction assigning prime divisors to all values 2^k 3^l m + 1 across exponent classes."
"EP-208","Erdős Problem #208","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-212","Erdős Problem #212","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-213","Erdős Problem #213","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-217","Erdős Problem #217","to-check","279","1983","not_proved_identified_gap","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos originally believed this was impossible for $n\geq 5$, but Pomerance constructed a set with $n=5$ (see \cite{Er83c} for a description), and Pal\'{a}sti has proved such sets exist for all $n\leq 8$."
"EP-218","Erdős Problem #218","to-check","283","1985","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: In \cite{Er85c} Erdos also conjectures that $d_n=d_{n+1}=\cdots=d_{n+k}$ is solvable for every $k$ (which is equivalent to $k$ consecutive primes in arithmetic progression, see [141])."
"EP-222","Erdős Problem #222","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-233","Erdős Problem #233","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-234","Erdős Problem #234","to-check","18","","not_proved_statement_text_noisy","Interpreted the problem as existence/continuity of distribution for normalized prime gaps (p_{n+1}-p_n)/log n below threshold c."
"EP-236","Erdős Problem #236","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-238","Erdős Problem #238","to-check","150","1949","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er49c} proved this is true for any $c_2>0$ if $c_1>0$ is sufficiently small (depending on $c_1$)."
"EP-241","Erdős Problem #241","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-243","Erdős Problem #243","harder","","2001","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-244","Erdős Problem #244","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-247","Erdős Problem #247","to-check","302","1988","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er75c} proved the answer is yes under the stronger condition that $\limsup n_k/k^t=\infty$ for all $t\geq 1$."
"EP-249","Erdős Problem #249","to-check","19","","not_proved","Rewrote sum phi(n)/2^n via divisor-sum identities to express it as a rapidly convergent arithmetic series amenable to irrationality criteria."
"EP-251","Erdős Problem #251","to-check","300","1988","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos \cite{Er58b} proved that $\sum \frac{p_n^k}{n!}$ is irrational for every $k\geq 1$."
"EP-252","Erdős Problem #252","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-254","Erdős Problem #254","to-check","161","1960","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Cassels \cite{Ca60} proved this under the alternative hypotheses $ \lim \frac{\lvert A\cap [1,2x]\rvert -\lvert A\cap [1,x]\rvert}{\log\log x}=\infty $ and $ \sum_{n\in A} \{ \theta n\}^2=\infty $ for every $\theta\in (0,1)$."
"EP-256","Erdős Problem #256","harder","","2018","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-257","Erdős Problem #257","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-258","Erdős Problem #258","to-check","199","1971","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Straus \cite{ErSt71} proved this is true if $a_n$ is monotone, i.e."
"EP-260","Erdős Problem #260","to-check","263","1981","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos \cite{Er81l} proved this is true under either of the stronger assumptions that {UL} {LI} $a_{n+1}-a_n\to \infty$ or {/LI} {LI} $a_n \gg n\sqrt{\log n\log\log n}$.{/LI} {/UL} Erdos and Graham speculate that the condition $\limsup a_{n+1}-a_n=\infty$ is not sufficient, but know of no example."
"EP-261","Erdős Problem #261","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-263","Erdős Problem #263","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-264","Erdős Problem #264","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-265","Erdős Problem #265","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-267","Erdős Problem #267","to-check","333","1993","not_proved_identified_gap","Tried analytic/probabilistic reformulation to isolate a quantitative threshold. Hard point: It may be sufficient to have $n_k/k\to \infty$."
"EP-269","Erdős Problem #269","to-check","296","1988","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-271","Erdős Problem #271","harder","","2011","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-272","Erdős Problem #272","to-check","367","1999","asymptotic_resolved_exact_open","Background gives Szabo (1999): t(N)=N^2/2 + O(N^{5/3}(log N)^3), resolving the asymptotic leading term."
"EP-273","Erdős Problem #273","to-check","20","","not_proved","Tried covering-system construction with allowed moduli p-1 (p>=5), balancing congruence classes to achieve full integer coverage."
"EP-274","Erdős Problem #274","harder","","2019","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-276","Erdős Problem #276","harder","","2014","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-278","Erdős Problem #278","to-check","286","1986","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-279","Erdős Problem #279","to-check","21","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-281","Erdős Problem #281","to-check","178","1966","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The latter condition is clearly sufficient, the problem is if it's also necessary."
"EP-282","Erdős Problem #282","to-check","168","1964","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-283","Erdős Problem #283","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-288","Erdős Problem #288","to-check","22","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: $ This is still open even if $\lvert I_2\rvert=1$."
"EP-289","Erdős Problem #289","to-check","252","1980","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-291","Erdős Problem #291","harder","","2022","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-293","Erdős Problem #293","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-295","Erdős Problem #295","to-check","197","1971","not_proved_identified_gap","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos and Straus \cite{ErSt71b} have proved the existence of some constant $c>0$ such that $ -c < k(N)-(e-1)N \ll \frac{N}{\log N}."
"EP-301","Erdős Problem #301","to-check","23","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-302","Erdős Problem #302","to-check","311","1991","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: Wouter van Doorn has proved (see this note) that $ f(N) \leq (9/10+o(1))N."
"EP-304","Erdős Problem #304","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-306","Erdős Problem #306","harder","","2015","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-311","Erdős Problem #311","to-check","253","1980","not_proved_identified_gap","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"EP-312","Erdős Problem #312","to-check","24","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-313","Erdős Problem #313","to-check","25","","not_proved_no_reference_block","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"EP-317","Erdős Problem #317","to-check","26","","not_proved_no_reference_block","Tried direct contradiction and structural decomposition of the extremal case. Hard point: $ Arguments of Kovac and van Doorn in the comment section prove a weak version of the first question, with an upper bound of $ 2^{-n\frac{(\log\log\log n)^{1+o(1)}}{\log n}}, $ and van Doorn gives a heuristic that suggests this may be the true order of magnitude."
"EP-318","Erdős Problem #318","to-check","277","1982","first_yes_second_false_third_open","Arithmetic-progression version is true (Sattler, per background). Positive-density version is false: if A has exactly one even element e, choosing f(e)=1 and f(odd)=-1 prevents any finite zero-sum reciprocal subset."
