"to_check_rank","problem_number","title","proof_attempt_status","proof_attempt_domain","latest_reference_year","proof_attempt_concise"
"16","EP-200","Erdős Problem #200","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"17","EP-203","Erdős Problem #203","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"18","EP-234","Erdős Problem #234","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"19","EP-249","Erdős Problem #249","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"20","EP-273","Erdős Problem #273","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"21","EP-279","Erdős Problem #279","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"22","EP-288","Erdős Problem #288","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: $ This is still open even if $\lvert I_2\rvert=1$."
"23","EP-301","Erdős Problem #301","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"24","EP-312","Erdős Problem #312","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"25","EP-313","Erdős Problem #313","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"26","EP-317","Erdős Problem #317","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: $ Arguments of Kovac and van Doorn in the comment section prove a weak version of the first question, with an upper bound of $ 2^{-n\frac{(\log\log\log n)^{1+o(1)}}{\log n}}, $ and van Doorn gives a …"
"27","EP-323","Erdős Problem #323","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: For $k>2$ it is not known if $f_{k,k}(x)=o(x)$."
"28","EP-324","Erdős Problem #324","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The Lander, Parkin, and Selfridge conjecture would imply that $f(x)=x^n$ has this property for all $n\geq 5$."
"29","EP-327","Erdős Problem #327","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"30","EP-330","Erdős Problem #330","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"31","EP-335","Erdős Problem #335","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"32","EP-341","Erdős Problem #341","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This problem is discussed under Problem 7 on Green's open problems list."
"33","EP-348","Erdős Problem #348","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The case $m=2$ and $n=3$ is not known."
"34","EP-361","Erdős Problem #361","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"35","EP-367","Erdős Problem #367","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: It would also be interesting to find upper and lower bounds for the analogous product with $B_r$ for $r\geq 3$, where $B_r(n)$ is the $r$-full part of $n$ (that is, the product of prime powers $p^a \…"
"36","EP-380","Erdős Problem #380","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Tao notes in the comments that if $[u,v]$ is bad then it cannot contain any primes, and hence certainly $v<2u$, and in general $v-u$ must be small (for example, assuming Cramer's conjecture, $v-u\ll …"
"37","EP-382","Erdős Problem #382","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Cambie has observed that the first question boils down to some old conjectures on prime gaps."
"38","EP-383","Erdős Problem #383","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"39","EP-385","Erdős Problem #385","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A question of Erdos, Eggleton, and Selfridge, who write that 'plausible conjectures on primes' imply that $F(n)\leq n$ for only finitely many $n$, and in fact it is possible that this quantity is alw…"
"40","EP-386","Erdős Problem #386","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"41","EP-388","Erdős Problem #388","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"42","EP-389","Erdős Problem #389","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"43","EP-400","Erdős Problem #400","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Graham write that it is easy to show that $g_k(n) \ll_k \log n$ always, but the best possible constant is unknown."
"44","EP-414","Erdős Problem #414","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"45","EP-421","Erdős Problem #421","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"46","EP-422","Erdős Problem #422","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"47","EP-428","Erdős Problem #428","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Graham could show this is true (assuming the prime $k$-tuple conjecture) if we replace $\liminf$ by $\limsup$."
"48","EP-430","Erdős Problem #430","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"49","EP-432","Erdős Problem #432","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"50","EP-457","Erdős Problem #457","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"51","EP-461","Erdős Problem #461","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"52","EP-462","Erdős Problem #462","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"53","EP-468","Erdős Problem #468","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"54","EP-472","Erdős Problem #472","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"55","EP-477","Erdős Problem #477","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"56","EP-479","Erdős Problem #479","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A conjecture of Graham."
"57","EP-489","Erdős Problem #489","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: For example, when $A=\{p^2: p\textrm{ prime}\}$ then $B$ is the set of squarefree numbers, and the existence of this limit was proved by Erdos."
"58","EP-495","Erdős Problem #495","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The infamous Littlewood conjecture."
"59","EP-514","Erdős Problem #514","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Boas (unpublished) has proved the first part, that such a path must exist."
"60","EP-538","Erdős Problem #538","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"61","EP-539","Erdős Problem #539","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Erdos and Szemer\'{e}di proved that $ n^{1/2} \ll h(n) \ll n^{1-c} $ for some constant $c>0$."
"62","EP-544","Erdős Problem #544","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"63","EP-554","Erdős Problem #554","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: The problem is open even for $n=2$."
"64","EP-557","Erdős Problem #557","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"65","EP-563","Erdős Problem #563","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"66","EP-568","Erdős Problem #568","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"67","EP-569","Erdős Problem #569","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"68","EP-574","Erdős Problem #574","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"69","EP-575","Erdős Problem #575","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"70","EP-579","Erdős Problem #579","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"71","EP-596","Erdős Problem #596","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos and Hajnal originally conjectured that there are no such $G_1,G_2$, but in fact $G_1=C_4$ and $G_2=C_6$ is an example."
"72","EP-597","Erdős Problem #597","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos and Hajnal proved that $\omega_1^2 \to (\omega_1\omega,3)^2$."
"73","EP-598","Erdős Problem #598","not_proved_no_reference_block","set_theory","","Tried partition-calculus reformulation and transfinite induction scaffolding. Hard point: forcing the needed partition relation at the required infinite cardinal scale."
"74","EP-602","Erdős Problem #602","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"75","EP-603","Erdős Problem #603","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"76","EP-614","Erdős Problem #614","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"77","EP-635","Erdős Problem #635","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"78","EP-638","Erdős Problem #638","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"79","EP-640","Erdős Problem #640","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"80","EP-653","Erdős Problem #653","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: Erdos and Fishburn proved $g(n)>\frac{3}{8}n$ and Csizmadia proved $g(n)>\frac{7}{10}n$."
"81","EP-655","Erdős Problem #655","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: It is easy to see that this assumption implies that there are at least $\frac{n-1}{2}$ distinct distances determined by every point."
"82","EP-661","Erdős Problem #661","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"83","EP-663","Erdős Problem #663","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: The bound $q(n,k)<(1+o(1))k\log n$ is easy."
"84","EP-667","Erdős Problem #667","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"85","EP-675","Erdős Problem #675","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Is it true that $t_n>\exp(n^c)$ for some constant $c>0$?{/LI} {/UL} Elementary sieve theory implies that the set of squarefree numbers has the translation property."
"86","EP-679","Erdős Problem #679","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: In the comments DottedCalculator has disproved the second stronger version, proving that in fact for all large $n$ there exists $k<n$ such that $ \omega(n-k)\geq \frac{\log k}{\log\log k} + c\frac{\l…"
"87","EP-681","Erdős Problem #681","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"88","EP-684","Erdős Problem #684","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: A classical theorem of Mahler states that for any $\epsilon>0$ and integers $k$ and $l$ then, writing $ (n+1)\cdots (n+k) = ab $ where the only primes dividing $a$ are $\leq l$ and the only primes di…"
"89","EP-685","Erdős Problem #685","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"90","EP-686","Erdős Problem #686","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"91","EP-688","Erdős Problem #688","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"92","EP-689","Erdős Problem #689","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: One can ask a similar question replacing $2$ by any fixed integer $r$ (provided $n$ is sufficiently large depending on $r$)."
"93","EP-693","Erdős Problem #693","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"94","EP-694","Erdős Problem #694","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos has proved that if such an $n$ exists then there must be infinitely many such $n$."
"95","EP-696","Erdős Problem #696","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos writes it is 'easy to see' that $h(n)\to \infty$ for almost all $n$ (which is proved in the comments by van Doorn), and believed he could show that the normal order of $h(n)$ is $\log_*(n)$ (th…"
"96","EP-700","Erdős Problem #700","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This implies $ f(n) \leq (1+o(1))\frac{n}{\log n}."
"97","EP-706","Erdős Problem #706","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: The case $r=1$ is the Hadwiger-Nelson problem, for which it is known that $5\leq L(1)\leq 7$."
"98","EP-719","Erdős Problem #719","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"99","EP-738","Erdős Problem #738","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"100","EP-749","Erdős Problem #749","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"101","EP-761","Erdős Problem #761","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: A positive answer to the second question implies a positive answer to the first via the bound mentioned in [760]."
"102","EP-766","Erdős Problem #766","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: Dirac and Erdos proved independently that when $l=\lfloor k^2/4\rfloor+1$ $ f(n;k,l)\leq \lfloor n^2/4\rfloor+1."
"103","EP-768","Erdős Problem #768","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: $ Erdos asked about this because $\lvert A\cap [1,N]\rvert$ provides an upper bound for the number of integers $n\leq N$ for which there is a non-cyclic simple group of order $n$."
"104","EP-770","Erdős Problem #770","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: It is easy to see that $h(n)=n+1$ if and only if $n+1$ is prime, and that $h(n)$ is unbounded for odd $n$."
"105","EP-776","Erdős Problem #776","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: For $r>1$ and $n$ sufficiently large $n-3$ is achievable, but $n-2$ is never achievable."
"106","EP-783","Erdős Problem #783","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"107","EP-809","Erdős Problem #809","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: A problem of Burr, Erdos, Graham, and S\'{o}s, who proved that $ F_k(n)\gg n^2."
"108","EP-810","Erdős Problem #810","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"109","EP-817","Erdős Problem #817","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: A problem of Erdos and S\'{a}rk""{o}zy who proved $ g_3(n) \gg \frac{3^n}{n^{O(1)}}."
"110","EP-826","Erdős Problem #826","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"111","EP-831","Erdős Problem #831","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"112","EP-837","Erdős Problem #837","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: It is known that $ A_2 = \left\{ 1-\frac{1}{k} : k\geq 1\right\}."
"113","EP-846","Erdős Problem #846","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"114","EP-847","Erdős Problem #847","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"115","EP-852","Erdős Problem #852","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Brun's sieve implies $h(x) \to \infty$ as $x\to \infty$."
"116","EP-854","Erdős Problem #854","not_proved_no_dated_reference","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos first thought that (for large enough $k$) all even $t\leq \max(a_{i+1}-a_i)$ can be written as $t=a_{j+1}-a_j$ for some $j$, but in \cite{Ob1} writes 'perhaps this is false', and reports some c…"
"117","EP-863","Erdős Problem #863","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: It is true that $c_1=c_1'$, and the classical bound on the size of Sidon sets (see [30]) implies $c_1=c_1'=1$."
"118","EP-864","Erdős Problem #864","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"119","EP-866","Erdős Problem #866","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Choi, Erdos, and Szemer\'{e}di proved that $g_3(N)=2$ and $g_4(N) \ll 1$."
"120","EP-873","Erdős Problem #873","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: A problem of Erdos and Szemer\'{e}di, who proved that for every $A$ $ F(A,X,3) \ll X^{1/3}\log X, $ and there is an $A$ such that $ F(A,X,3) \gg X^{1/3}\log X $ for infinitely many $X$."
"121","EP-875","Erdős Problem #875","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"122","EP-879","Erdős Problem #879","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos and Van Lint proved that $ H(n)-n^{3/2-o(1)}<G(n)<H(n) $ and $ \frac{H(n)-G(n)}{n}\to \infty."
"123","EP-881","Erdős Problem #881","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"124","EP-884","Erdős Problem #884","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"125","EP-888","Erdős Problem #888","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Erdos claims that S\'{a}rk""{o}zy proved that $\lvert A\rvert =o(n)$ (a proof of this bound is provided by Tao in the comments)."
"126","EP-896","Erdős Problem #896","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"127","EP-911","Erdős Problem #911","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"128","EP-913","Erdős Problem #913","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project."
"129","EP-932","Erdős Problem #932","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project."
"130","EP-938","Erdős Problem #938","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: Erdos also conjectured (see [364]) that there are no triples of powerful numbers of the shape $n,n+1,n+2$."
"131","EP-943","Erdős Problem #943","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: the extremal structure is not rigid enough under current bounds."
"132","EP-948","Erdős Problem #948","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: Erdos initially asked whether this is possible with the set being monochromatic, but Galvin showed that this is not always possible, considering the two colouring where, writing $n=2^km$ with $m$ odd…"
