"id","problem_number","title","statement","background","status","category_id","difficulty_level_id"
2031,"EP-288","Erdős Problem #288","Is it true that there are only finitely many pairs of intervals $I_1,I_2$ such that $ \sum_{n_1\in I_1}\frac{1}{n_1}+\sum_{n_2\in I_2}\frac{1}{n_2}\in \mathbb{N}? $","For example, $ \frac{1}{3}+\frac{1}{4}+\frac{1}{5}+\frac{1}{6}+\frac{1}{20}=1. $ This is still open even if $\lvert I_2\rvert=1$. It is perhaps true with two intervals replaced by any $k$ intervals.","open",2,1
2032,"EP-289","Erdős Problem #289","Is it true that, for all sufficiently large $k$, there exist finite intervals $I_1,\ldots,I_k\subset \mathbb{N}$, distinct, not overlapping or adjacent, with $\lvert I_i\rvert \geq 2$ for $1\leq i\leq k$ such that $ 1=\sum_{i=1}^k \sum_{n\in I_i}\frac{1}{n}? $","Erdos and Graham posed this in \cite{ErGr80} without the stipulation the intervals be distinct, non-overlapping, or adjacent, but Kovac in the comments has provided a simple argument showing that it is easily possible without this restriction, and likely \cite{ErGr80} just forgot to mention this natural restriction. As an example representing $2$ rather than $1$, Hickerson and Montgomery, in the solution to AMS Monthly problem E2689 proposed by Hahn, found $ 2=\sum_{i=1}^5 \sum_{n\in I_i}\frac{1}{n} $ where $I_1=[2,7]$, $I_2=[9,10]$, $I_3=[17,18]$, $I_4=[34,35]$, and $I_5=[84,85]$. References [ErGr80] Erdos, P. and Graham, R., Old and new problems and results in combinatorial number theory. Monographies de L'Enseignement Mathematique (1980).","open",3,1
2033,"EP-291","Erdős Problem #291","Let $n\geq 1$ and define $L_n$ to be the least common multiple of $\{1,\ldots,n\}$ and $a_n$ by $ \sum_{1\leq k\leq n}\frac{1}{k}=\frac{a_n}{L_n}. $ Is it true that $(a_n,L_n)=1$ and $(a_n,L_n)>1$ both occur for infinitely many $n$?","Steinerberger has observed that the answer to the second question is trivially yes: for example, any $n$ which begins with a $2$ in base $3$ has $3\mid (a_n,L_n)$. More generally, if the leading digit of $n$ in base $p$ is $p-1$ then $p\mid (a_n,L_n)$. There is in fact a necessary and sufficient condition: a prime $p\leq n$ divides $(a_n,L_n)$ if and only if $p$ divides the numerator of $1+\cdots+\frac{1}{k}$, where $k$ is the leading digit of $n$ in base $p$. This can be seen by writing $ a_n = \frac{L_n}{1}+\cdots+\frac{L_n}{n} $ and observing that the right-hand side is congruent to $1+\cdots+1/k$ modulo $p$. (The previous claim about $p-1$ follows immediately from Wolstenholme's theorem.) This leads to a heuristic prediction (see for example a preprint of Shiu \cite{Sh16}) of $\asymp\frac{x}{\log x}$ for the number of $n\in [1,x]$ such that $(a_n,L_n)=1$. In particular, there should be infinitely many $n$, but the set of such $n$ should have density zero. Unfortunately this heuristic is difficult to turn into a proof. Wu and Yan \cite{WuYa22} have proved, conditional on $\frac{1}{\log p}$ being linearly independent over $\mathbb{Q}$ for any finite collection of primes $p$ (itself a consequence of Schanuel's conjecture), that the set of $n$ for which $(a_n,L_n)>1$ has upper density $1$. References [Sh16] P. Shiu, The denominators of harmonic numbers. arXiv:1607.02863 (2016). [WuYa22] Wu, Bing-Ling and Yan, Xiao-Hui, On the denominators of harmonic numbers. {IV}. C. R. Math. Acad. Sci. Paris (2022), 53--57.","open",1,1
2034,"EP-293","Erdős Problem #293","Let $k\geq 1$ and let $v(k)$ be the minimal integer which does not appear as some $n_i$ in a solution to $ 1=\frac{1}{n_1}+\cdots+\frac{1}{n_k} $ with $1\leq n_1<\cdots <n_k$. Estimate the growth of $v(k)$.","Results of Bleicher and Erdos \cite{BlEr75} imply $v(k) \gg k!$. It may be that $v(k)$ grows doubly exponentially in $\sqrt{k}$ or even $k$. An elementary inductive argument shows that $n_k\leq ku_k$ where $u_1=1$ and $u_{i+1}=u_i(u_i+1)$, and hence $ v(k) \leq kc_0^{2^k}, $ where $ c_0=\lim_n u_n^{1/2^n}=1.26408\cdots $ is the 'Vardi constant' (small improvements on this are possible as in [148]). van Doorn and Tang \cite{vDTa25b} have proved that $ v(k)\geq e^{ck^2} $ for some constant $c>0$, and noted a close connection to [304]. In particular, if $N(b)\ll \log\log b$ as in [304] then it is likely the methods of \cite{vDTa25b} prove $v(k) \geq e^{e^{ck}}$ for some $c>0$. References [BlEr75] Bleicher, M. N. and Erdos, P., The number of distinct subsums of $\sum \sb{1}\spN\,1/i$. Math. Comp. (1975), 29-42. [vDTa25b] W. van Doorn and Q. Tang, The smallest denominator not contained in a unit fraction decomposition of 1 with fixed length. arXiv:2512.22083 (2025).","open",1,1
2035,"EP-295","Erdős Problem #295","Let $N\geq 1$ and let $k(N)$ denote the smallest $k$ such that there exist $N\leq n_1<\cdots <n_k$ with $ 1=\frac{1}{n_1}+\cdots+\frac{1}{n_k}. $ Is it true that $ \lim_{N\to \infty} k(N)-(e-1)N=\infty? $","Erdos and Straus \cite{ErSt71b} have proved the existence of some constant $c>0$ such that $ -c < k(N)-(e-1)N \ll \frac{N}{\log N}. $ References [ErSt71b] Erdos, P. and Straus, E. G., Solution to Problem. Amer. Math. Monthly (1971), 302-303.","open",2,1
2036,"EP-301","Erdős Problem #301","Let $f(N)$ be the size of the largest $A\subseteq \{1,\ldots,N\}$ such that there are no solutions to $ \frac{1}{a}= \frac{1}{b_1}+\cdots+\frac{1}{b_k} $ with distinct $a,b_1,\ldots,b_k\in A$? Estimate $f(N)$. In particular, is it true that $f(N)=(\tfrac{1}{2}+o(1))N$?","The example $A=(N/2,N]\cap \mathbb{N}$ shows that $f(N)\geq N/2$. Wouter van Doorn has given an elementary argument that proves $ f(N)\leq (25/28+o(1))N. $ Indeed, consider the sets $S_a=\{2a,3a,4a,6a,12a\}\cap [1,N]$ as $a$ ranges over all integers of the form $8^b9^cd$ with $(d,6)=1$. All such $S_a$ are disjoint and, if $A$ has no solutions to the given equation, then $A$ must omit at least two elements of $S_a$ when $a\leq N/12$ and at least one element of $S_a$ when $N/12<a\leq N/6$, and an elementary calculation concludes the proof. Stijn Cambie and Wouter van Doorn have noted that, if we allow solutions to this equation with non-distinct $b_i$, then the size of the maximal set is at most $N/2$. Indeed, this is the classical threshold for the existence of some distinct $a,b\in A$ such that $a\mid b$.","open",1,1
2037,"EP-302","Erdős Problem #302","Let $f(N)$ be the size of the largest $A\subseteq \{1,\ldots,N\}$ such that there are no solutions to $ \frac{1}{a}= \frac{1}{b}+\frac{1}{c} $ with distinct $a,b,c\in A$? Estimate $f(N)$. In particular, is $f(N)=(\tfrac{1}{2}+o(1))N$?","The colouring version of this is [303], which was solved by Brown and R""{o}dl \cite{BrRo91}. One can take either $A$ to be all odd integers in $[1,N]$ or all integers in $[N/2,N]$ to show $f(N)\geq (1/2+o(1))N$. Wouter van Doorn has proved (see this note) that $ f(N) \leq (9/10+o(1))N. $ Stijn Cambie has observed that $ f(N)\geq (5/8+o(1))N, $ taking $A$ to be all odd integers $\leq N/4$ and all integers in $[N/2,N]$. Stijn Cambie has also observed that, if we allow $b=c$, then there is a solution to this equation when $\lvert A\rvert \geq (\tfrac{2}{3}+o(1))N$, since then there must exist some $n,2n\in A$. See also [301] and [327]. References [BrRo91] Brown, Tom C. and R""{o}dl, Voijtech, Monochromatic solutions to equations with unit fractions. Bull. Austral. Math. Soc. (1991), 387-392.","open",1,1
2038,"EP-304","Erdős Problem #304","For integers $1\leq a<b$ let $N(a,b)$ denote the minimal $k$ such that there exist integers $1<n_1<\cdots<n_k$ with $ \frac{a}{b}=\frac{1}{n_1}+\cdots+\frac{1}{n_k}. $ Estimate $N(b)=\max_{1\leq a<b}N(a,b)$. Is it true that $N(b) \ll \log\log b$?","Erdos \cite{Er50c} proved that $ \log\log b \ll N(b) \ll \frac{\log b}{\log\log b}. $ The upper bound was improved by Vose \cite{Vo85} to $ N(b) \ll \sqrt{\log b}. $ One can also investigate the average of $N(a,b)$ for fixed $b$, and it is known that $ \frac{1}{b}\sum_{1\leq a<b}N(a,b) \gg \log\log b. $ Related to [18]. There is also a close connection to [293] (particularly with $N(b-1,b)$), as elucidated by van Doorn and Tang \cite{vDTa25b}. This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project. References [Er50c] Erdos, P., Az $1/x_1 + 1/x_2 + \ldots + 1/x_n =A/B$ egyenlet eg\'{e}sz sz\'{a}m\'{u} megold\'{a}sair\'{o}l. Mat. Lapok (1950), 192-210. [Vo85] Vose, Michael D., Egyptian fractions. Bull. London Math. Soc. (1985), 21-24. [vDTa25b] W. van Doorn and Q. Tang, The smallest denominator not contained in a unit fraction decomposition of 1 with fixed length. arXiv:2512.22083 (2025).","open",1,1
2039,"EP-306","Erdős Problem #306","Let $a/b\in \mathbb{Q}_{>0}$ with $b$ squarefree. Are there integers $1<n_1<\cdots<n_k$, each the product of two distinct primes, such that $ \frac{a}{b}=\frac{1}{n_1}+\cdots+\frac{1}{n_k}? $","For $n_i$ the product of three distinct primes, this is true when $b=1$, as proved by Butler, Erdos and Graham \cite{BEG15} (this paper is perhaps Erdos' last paper, appearing 19 years after his death). References [BEG15] Butler, Steve and Erdos, Paul and Graham, Ron, Egyptian fractions with each denominator having three distinct prime divisors. Integers (2015), Paper No. A51, 9.","open",1,1
2040,"EP-311","Erdős Problem #311","Let $\delta(N)$ be the minimal non-zero value of $\lvert 1-\sum_{n\in A}\frac{1}{n}\rvert$ as $A$ ranges over all subsets of $\{1,\ldots,N\}$. Is it true that $ \delta(N)=e^{-(c+o(1))N} $ for some constant $c\in (0,1)$?","It is trivial that $ \delta(N)\geq \frac{1}{[1,\ldots,N]}=e^{-(1+o(1))N}, $ where $[1,\ldots,N]$ is the least common multiple of $\{1,\ldots,N\}$. The formulation in \cite{ErGr80} has the additional condition that $A$ contain no $S$ such that $\sum_{n\in S}\frac{1}{n}=1$, but Kovac in the comments has shown that the simpler formulation above is equivalent. Tang has shown that $ \delta(N) \leq \exp\left(-c\frac{N}{(\log N\log\log N)^3}\right) $ for some constant $c>0$. References [ErGr80] Erdos, P. and Graham, R., Old and new problems and results in combinatorial number theory. Monographies de L'Enseignement Mathematique (1980).","open",3,1
2041,"EP-312","Erdős Problem #312","Does there exist some $c>0$ such that, for any $K>1$, whenever $A$ is a sufficiently large finite multiset of positive integers with $\sum_{n\in A}\frac{1}{n}>K$ there exists some $S\subseteq A$ such that $ 1-e^{-cK} < \sum_{n\in S}\frac{1}{n}\leq 1? $","Erdos and Graham knew this with $e^{-cK}$ replaced by $c/K^2$.","open",1,1
2042,"EP-313","Erdős Problem #313","Are there infinitely many solutions to $ \frac{1}{p_1}+\cdots+\frac{1}{p_k}=1-\frac{1}{m}, $ where $m\geq 2$ is an integer and $p_1<\cdots<p_k$ are distinct primes?","For example, $ \frac{1}{2}+\frac{1}{3}=1-\frac{1}{6} $ and $ \frac{1}{2}+\frac{1}{3}+\frac{1}{7}=1-\frac{1}{42}. $ It is clear that we must have $m=p_1\cdots p_k$, and hence in particular there is at most one solution for each $m$. The integers $m$ for which there is such a solution are known as primary pseudoperfect numbers, and there are $8$ known, listed in A054377 at the OEIS.","open",1,1
2043,"EP-317","Erdős Problem #317","Is there some constant $c>0$ such that for every $n\geq 1$ there exists some $\delta_k\in \{-1,0,1\}$ for $1\leq k\leq n$ with $ 0< \left\lvert \sum_{1\leq k\leq n}\frac{\delta_k}{k}\right\rvert < \frac{c}{2^n}? $ Is it true that for sufficiently large $n$, for any $\delta_k\in \{-1,0,1\}$, $ \left\lvert \sum_{1\leq k\leq n}\frac{\delta_k}{k}\right\rvert > \frac{1}{[1,\ldots,n]} $ whenever the left-hand side is not zero?","Inequality is obvious for the second claim, the problem is strict inequality. This fails for small $n$, for example $ \frac{1}{2}-\frac{1}{3}-\frac{1}{4}=-\frac{1}{12}. $ Arguments of Kovac and van Doorn in the comment section prove a weak version of the first question, with an upper bound of $ 2^{-n\frac{(\log\log\log n)^{1+o(1)}}{\log n}}, $ and van Doorn gives a heuristic that suggests this may be the true order of magnitude.","open",2,1
2044,"EP-318","Erdős Problem #318","Let $A\subseteq \mathbb{N}$ be an infinite arithmetic progression and $f:A\to \{-1,1\}$ be a non-constant function. Must there exist a finite non-empty $S\subset A$ such that $ \sum_{n\in S}\frac{f(n)}{n}=0? $ What about if $A$ is an arbitrary set of positive density? What if $A$ is the set of squares excluding $1$?","Erdos and Straus \cite{ErSt75} proved this when $A=\mathbb{N}$. Sattler \cite{Sa75} proved this when $A$ is the set of odd numbers. For the squares $1$ must be excluded or the result is trivially false, since $ \sum_{k\geq 2}\frac{1}{k^2}<1. $ This is false for some sets $A$ of positive density - indeed, it fails for any set $A$ containing exactly one even number. (Sattler \cite{Sa82} credits this observation to Erdos, who presumably found this after \cite{ErGr80}.) Sattler \cite{Sa82b} proved the answer to the original question is yes, in that any arithmetic progression has this property. The final question of the set of squares excluding $1$ appears to be open - Sattler announced a proof in \cite{Sa82} and \cite{Sa82b}, but this never appeared. References [ErGr80] Erdos, P. and Graham, R., Old and new problems and results in combinatorial number theory. Monographies de L'Enseignement Mathematique (1980). [ErSt75] Erdos, P. and Straus, E. G., Solution to Problem 387. Nieuw Arch. Wisk. (1975), 183. [Sa75] Sattler, R., Solution to Problem 387. Nieuw Arch. Wisk. (1975), 184-189. [Sa82] Sattler, R., On {E}rd\H{o}s property {${\rm P}\sb{1}$}\ for the sequence of squarefree numbers. Nederl. Akad. Wetensch. Indag. Math. (1982), 341--346. [Sa82b] Sattler, R., On {E}rd\H{o}s property {${\rm P}\sb{1}$}\ for the arithmetical sequence. Nederl. Akad. Wetensch. Indag. Math. (1982), 347--352.","open",3,1
2045,"EP-319","Erdős Problem #319","What is the size of the largest $A\subseteq \{1,\ldots,N\}$ such that there is a function $\delta:A\to \{-1,1\}$ such that $ \sum_{n\in A}\frac{\delta_n}{n}=0 $ and $ \sum_{n\in A'}\frac{\delta_n}{n} eq 0 $ for all non-empty $A'\subsetneq A$?","Adenwalla has observed that a lower bound of $ \lvert A\rvert\geq (1-\tfrac{1}{e}+o(1))N $ follows from the main result of Croot \cite{Cr01}, which states that there exists some set of integers $B\subset [(\frac{1}{e}-o(1))N,N]$ such that $\sum_{b\in B}\frac{1}{b}=1$. Since the sum of $\frac{1}{m}$ for $m\in [c_1N,c_2N]$ is asymptotic to $\log(c_2/c_1)$ we must have $\lvert B\rvert \geq (1-\tfrac{1}{e}+o(1))N$. We may then let $A=B\cup\{1\}$ and choose $\delta(n)=-1$ for all $n\in B$ and $\delta(1)=1$. This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project. References [Cr01] Croot, III, Ernest S., On unit fractions with denominators in short intervals. Acta Arith. (2001), 99-114.","open",1,1
2046,"EP-320","Erdős Problem #320","Let $S(N)$ count the number of distinct sums of the form $\sum_{n\in A}\frac{1}{n}$ for $A\subseteq \{1,\ldots,N\}$. Estimate $S(N)$.","Bleicher and Erdos \cite{BlEr75} proved the lower bound $ \log S(N)\geq \frac{N}{\log N}\left(\log 2\prod_{i=3}^k\log_iN\right), $ valid for $k\geq 4$ and $\log_kN\geq k$, and also \cite{BlEr76b} proved the upper bound $ \log S(N)\leq \frac{N}{\log N}\left(\log_r N \prod_{i=3}^r \log_iN\right), $ valid for $r\geq 1$ and $\log_{2r}N\geq 1$. (In these bounds $\log_in$ denotes the $i$-fold iterated logarithm.) Bettin, Greni\'{e}, Molteni, and Sanna \cite{BGMS25} improved the lower bound to $ \log S(N) \geq \frac{N}{\log N}\left(2\log 2\left(1-\frac{3/2}{\log_kN}\right)\prod_{i=3}^k\log_iN\right), $ valid for $k\geq 4$ and $\log_kN\geq 3/2$. (In particular this goes to infinity faster than the lower bound of Bleicher and Erdos.) See also [321]. References [BGMS25] S. Bettin, L. Greni\'{e}, G. Molteni, and C. Sanna, A lower bound for the number of Egyptian fractions. arXiv:2509.10030 (2025). [BlEr75] Bleicher, M. N. and Erdos, P., The number of distinct subsums of $\sum \sb{1}\spN\,1/i$. Math. Comp. (1975), 29-42. [BlEr76b] Bleicher, Michael N. and Erdos, Paul, Denominators of Egyptian fractions. II. Illinois J. Math. (1976), 598-613.","open",2,1
2047,"EP-321","Erdős Problem #321","What is the size of the largest $A\subseteq \{1,\ldots,N\}$ such that all sums $\sum_{n\in S}\frac{1}{n}$ are distinct for $S\subseteq A$?","Let $R(N)$ be the maximal such size. Results of Bleicher and Erdos from \cite{BlEr75} and \cite{BlEr76b} imply that $ \frac{N}{\log N}\prod_{i=3}^k\log_iN\leq R(N)\leq \frac{1}{\log 2}\log_r N\left(\frac{N}{\log N} \prod_{i=3}^r \log_iN\right), $ valid for any $k\geq 4$ with $\log_kN\geq k$ and any $r\geq 1$ with $\log_{2r}N\geq 1$. (In these bounds $\log_in$ denotes the $i$-fold iterated logarithm.) See also [320]. References [BlEr75] Bleicher, M. N. and Erdos, P., The number of distinct subsums of $\sum \sb{1}\spN\,1/i$. Math. Comp. (1975), 29-42. [BlEr76b] Bleicher, Michael N. and Erdos, Paul, Denominators of Egyptian fractions. II. Illinois J. Math. (1976), 598-613.","open",2,1
2048,"EP-322","Erdős Problem #322","Let $k\geq 3$ and $A\subset \mathbb{N}$ be the set of $k$th powers. What is the order of growth of $1_A^{(k)}(n)$, i.e. the number of representations of $n$ as the sum of $k$ many $k$th powers? Does there exist some $c>0$ and infinitely many $n$ such that $ 1_A^{(k)}(n) >n^c? $","Connected to Waring's problem. The famous Hypothesis $K$ of Hardy and Littlewood was that $1_A^{(k)}(n)\leq n^{o(1)}$, but this was disproved by Mahler \cite{Ma36} for $k=3$, who constructed infinitely many $n$ such that $ 1_A^{(3)}(n)\gg n^{1/12} $ (where $A$ is the set of cubes). Erdos believed Hypothesis $K$ fails for all $k\geq 4$, but this is unknown. Hardy and Littlewood made the weaker Hypothesis $K^*$ that for all $N$ and $\epsilon>0$ $ \sum_{n\leq N}1_A^{(k)}(n)^2 \ll_\epsilon N^{1+\epsilon}. $ Erdos and Graham remark: 'This is probably true but no doubt very deep. However, it would suffice for most applications.' Independently Erdos \cite{Er36} and Chowla proved that for all $k\geq 3$ and infinitely many $n$ $ 1_A^{(k)}(n) \gg n^{c/\log\log n} $ for some constant $c>0$ (depending on $k$). In \cite{Er65b} Erdos claims an unpublished proof that, if $B$ is the set of $k$th powers of any set of positive density, then $ \limsup 1_B^{(k)}(n)=\infty. $ This is discussed in problem D4 of Guy's collection \cite{Gu04}. References [Er36] Erd""{o}s, Paul, On the Representation of an Integer as the Sum of k k-th Powers. J. London Math. Soc. (1936), 133-136. [Er65b] Erdos, Paul, Some recent advances and current problems in number theory. Lectures on Modern Mathematics, Vol. III (1965), 196-244. [Gu04] Guy, Richard K., Unsolved problems in number theory. (2004), xviii+437. [Ma36] Mahler, Kurt, Note on Hypothesis K of Hardy and Littlewood. J. London Math. Soc. (1936), 136-138.","open",1,1
2049,"EP-323","Erdős Problem #323","Let $1\leq m\leq k$ and $f_{k,m}(x)$ denote the number of integers $\leq x$ which are the sum of $m$ many nonnegative $k$th powers. Is it true that $ f_{k,k}(x) \gg_\epsilon x^{1-\epsilon} $ for all $\epsilon>0$? Is it true that if $m<k$ then $ f_{k,m}(x) \gg x^{m/k} $ for sufficiently large $x$?","This would have significant applications to Waring's problem. Erdos and Graham describe this as 'unattackable by the methods at our disposal'. The case $k=2$ was resolved by Landau, who showed $ f_{2,2}(x) \sim \frac{cx}{\sqrt{\log x}} $ for some constant $c>0$. For $k>2$ it is not known if $f_{k,k}(x)=o(x)$.","open",1,1
2050,"EP-324","Erdős Problem #324","Does there exist a polynomial $f(x)\in\mathbb{Z}[x]$ such that all the sums $f(a)+f(b)$ with $a<b$ nonnegative integers are distinct?","Erdos and Graham describe this problem as 'very annoying'. Probably $f(x)=x^5$ should work. The Lander, Parkin, and Selfridge conjecture would imply that $f(x)=x^n$ has this property for all $n\geq 5$.","open",1,1
2051,"EP-325","Erdős Problem #325","Let $k\geq 3$ and $f_{k,3}(x)$ denote the number of integers $\leq x$ which are the sum of three nonnegative $k$th powers. Is it true that $ f_{k,3}(x) \gg x^{3/k} $ or even $\gg_\epsilon x^{3/k-\epsilon}$?","Mahler and Erdos \cite{ErMa38} proved that $f_{k,2}(x) \gg x^{2/k}$. For $k=3$ the best known is due to Wooley \cite{Wo15}, $ f_{3,3}(x) \gg x^{0.917\cdots}. $ This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project. References [ErMa38] Erdos, P\'{a}l and Mahler, Kurt, On the number of integers which can be represented by a binary form. Doc. Math. (2019), 475-481. [Wo15] Wooley, Trevor D., Sums of three cubes, II. Acta Arith. (2015), 73-100.","open",1,1
2052,"EP-326","Erdős Problem #326","Let $A\subset \mathbb{N}$ be an additive basis of order $2$. Must there exist $B=\{b_1<b_2<\cdots\}\subseteq A$ which is also a basis such that $ \lim_{k\to \infty}\frac{b_k}{k^2} $ does not exist?","Erdos originally asked whether this was true with $A=B$, but this was disproved by Cassels \cite{Ca57}. This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project. References [Ca57] Cassels, J. W. S., ""{U}ber Basen der nat""{u}rlichen Zahlenreihe. Abh. Math. Sem. Univ. Hamburg (1957), 247-257.","open",2,1
2053,"EP-327","Erdős Problem #327","Suppose $A\subseteq \{1,\ldots,N\}$ is such that if $a,b\in A$ and $a eq b$ then $a+b mid ab$. Can $A$ be 'substantially more' than the odd numbers? What if $a,b\in A$ with $a eq b$ implies $a+b mid 2ab$? Must $\lvert A\rvert=o(N)$?","The connection to unit fractions comes from the observation that $\frac{1}{a}+\frac{1}{b}$ is a unit fraction if and only if $a+b\mid ab$. Wouter van Doorn has given an elementary argument that proves that if $A\subseteq \{1,\ldots,N\}$ has $\lvert A\rvert \geq (25/28+o(1))N$ then $A$ must contain $a eq b$ with $a+b\mid ab$ (see the discussion in [301]).","open",2,1
2054,"EP-329","Erdős Problem #329","Suppose $A\subseteq \mathbb{N}$ is a Sidon set. How large can $ \limsup_{N\to \infty}\frac{\lvert A\cap \{1,\ldots,N\}\rvert}{N^{1/2}} $ be?","Erdos proved that $1/2$ is possible and Kr""{u}ckeberg \cite{Kr61} proved $1/\sqrt{2}$ is possible. Erdos and Tur\'{a}n \cite{ErTu41} have proved this $\limsup$ is always $\leq 1$. The fact that $1$ is possible would follow if any finite Sidon set is a subset of a perfect difference set (see [44] and [707]). This question can also be asked for $B_2[g]$ sequences (i.e. where the number of solutions to $n=a_1+a_2$ with $a_1\leq a_2$ is at most $g$ for all $n$, so that a $B_2[1]$ set is a Sidon set). Kolountzakis \cite{Ko96} constructed a $B_2[2]$ sequence where the $\limsup$ is $1$, and for larger $g$ constructions were provided by Cilleruelo and Trujillo \cite{CiTr01}. References [CiTr01] Cilleruelo, Javier and Trujillo, Carlos, Infinite {$B_2[g]$} sequences. Israel J. Math. (2001), 263--267. [ErTu41] Erdos, P. and Tur\'{a}n, P., On a problem of Sidon in additive number theory, and on some related problems. J. London Math. Soc. (1941), 212-215. [Ko96] Kolountzakis, Mihail N., On the additive complements of the primes and sets of similar growth. Acta Arith. (1996), 1--8. [Kr61] Kr""{u}ckeberg, Fritz, $B\sb{2}$-Folgen und verwandte Zahlenfolgen. J. Reine Angew. Math. (1961), 53-60.","open",1,1
2055,"EP-330","Erdős Problem #330","Does there exist a minimal basis with positive density, say $A\subset\mathbb{N}$, such that for any $n\in A$ the (upper) density of integers which cannot be represented without using $n$ is positive?","Asked by Erdos and Nathanson.","open",1,1
2056,"EP-332","Erdős Problem #332","Let $A\subseteq \mathbb{N}$ and $D(A)$ be the set of those numbers which occur infinitely often as $a_1-a_2$ with $a_1,a_2\in A$. What conditions on $A$ are sufficient to ensure $D(A)$ has bounded gaps?","Prikry, Tijdeman, Stewart, and others (see the survey articles \cite{St78} and \cite{Ti79}) have shown that a sufficient condition is that $A$ has positive density. One can also ask what conditions are sufficient for $D(A)$ to have positive density, or for $\sum_{d\in D(A)}\frac{1}{d}=\infty$, or even just $D(A) eq\emptyset$. References [St78] Stewart, Cam L., On difference sets of sets of integers. S\'{e}minaire Delange-Pisot-Poitou, 19e ann\'{e}e: 1977/78, Th\'{e}orie des nombres, Fasc. 1 (1978), Exp. No. 5, 8. [Ti79] Tijdeman, R., Distance sets of sequences of integers. Proceedings, Bicentennial Congress Wiskundig Genootschap (Vrije Univ., Amsterdam, 1978), Part II (1979), 405-415.","open",1,1
2057,"EP-334","Erdős Problem #334","Find the best function $f(n)$ such that every $n$ can be written as $n=a+b$ where both $a,b$ are $f(n)$-smooth (that is, are not divisible by any prime $p>f(n)$.)","Erdos originally asked if even $f(n)\leq n^{1/3}$ is true. This is known, and the best bound is due to Balog \cite{Ba89} who proved that $ f(n) \ll_\epsilon n^{\frac{4}{9\sqrt{e}}+\epsilon} $ for all $\epsilon>0$. (Note $\frac{4}{9\sqrt{e}}=0.2695\ldots$.) It is likely that $f(n)\leq n^{o(1)}$, or even $f(n)\leq e^{O(\sqrt{\log n})}$. See also Problem 59 on Green's open problems list. References [Ba89] Balog, A., On additive representation of integers. Acta Math. Hungar. (1989), 297-301.","open",1,1
2058,"EP-335","Erdős Problem #335","Let $d(A)$ denote the density of $A\subseteq \mathbb{N}$. Characterise those $A,B\subseteq \mathbb{N}$ with positive density such that $ d(A+B)=d(A)+d(B). $","One way this can happen is if there exists $\theta>0$ such that $ A=\{ n>0 : \{ n\theta\} \in X_A\}\textrm{ and }B=\{ n>0 : \{n\theta\} \in X_B\} $ where $\{x\}$ denotes the fractional part of $x$ and $X_A,X_B\subseteq \mathbb{R}/\mathbb{Z}$ are such that $\mu(X_A+X_B)=\mu(X_A)+\mu(X_B)$. Are all possible $A$ and $B$ generated in a similar way (using other groups)?","open",2,1
2059,"EP-336","Erdős Problem #336","For $r\geq 2$ let $h(r)$ be the maximal finite $k$ such that there exists a basis $A\subseteq \mathbb{N}$ of order $r$ (so every large integer is the sum of at most $r$ integers from $A$) and exact order $k$ (so every large integer is the sum of exactly $k$ integers from $A$). Find the value of $ \lim_r \frac{h(r)}{r^2}. $","A simple example of the order of a basis differing from the exact order is given by $A=\cup_{k\geq 0}(2^{2k},2^{2k+1}]$, which has order $2$ but exact order $3$. Erdos and Graham \cite{ErGr80b} have shown that a basis $A$ has an exact order if and only if $a_2-a_1,a_3-a_2,a_4-a_3,\ldots$ are coprime. They also proved that $ \frac{1}{4}\leq \lim_r \frac{h(r)}{r^2}\leq \frac{5}{4}. $ The best bounds known for the limit are $ \frac{1}{3}\leq \lim_r \frac{h(r)}{r^2}\leq \frac{1}{2}, $ the lower bound originally due to Grekos \cite{Gr88} and the upper bound to Nash \cite{Na93}. Improved bounds in the lower order terms were given by Plagne \cite{Pl04}. Erdos and Graham \cite{ErGr80b} showed $h(2)=4$. Nash \cite{Na93} showed $h(3)=7$. The value of $h(4)$ is unknown, but it is known \cite{Pl04} that $10\leq h(4)\leq 11$. References [ErGr80b] Erdos, P. and Graham, R. L., On bases with an exact order. Acta Arith. (1980), 201-207. [Gr88] Grekos, Georges, Sur l'ordre d'une base additive. ([1988?]), Exp. No. 31, 13. [Na93] Nash, John C. M., Some applications of a theorem of {M}. {K}neser. J. Number Theory (1993), 1--8. [Pl04] Plagne, Alain, \`A{} propos de la fonction {$X$} d'{E}rd\H{o}s et {G}raham. Ann. Inst. Fourier (Grenoble) (2004), 1717--1767.","open",1,1
